Condition,VH + ζ + 221 + Her 1,VH + ζ + 221 + Her 2,VH + ζ + 221 + Her 3,VL + ζ + 221 + Her 1,VL + ζ + 221 + Her 2,VL + ζ + 221 + Her 3,VH + ζ + 221 1,VH + ζ + 221 2,VH + ζ + 221 3,VL + ζ + 221 1,VL + ζ + 221 2,VL + ζ + 221 3,,,,,,,
Seconds,,,,,,,,,,,,,,,,,,,
35.5,1.170785,1.204941,1.153706,0.864521,0.837425,0.905165,1.023372,1.028047,1.021035,0.916205,0.899446,0.941343,,,,,,,
36,1.170901,1.205081,1.153811,0.865078,0.838094,0.905555,1.028519,1.034223,1.025667,0.918762,0.902514,0.943133,,,,,,,
36.5,1.174306,1.209167,1.156875,0.866174,0.839409,0.906322,1.030194,1.036233,1.027175,0.921084,0.905301,0.944759,,,,,,,
37,1.177645,1.213174,1.15988,0.867435,0.840922,0.907205,1.032084,1.038501,1.028876,0.925263,0.910316,0.947684,,,,,,,
37.5,1.182747,1.219296,1.164472,0.869063,0.842876,0.908344,1.032141,1.038569,1.028926,0.926581,0.911897,0.948607,,,,,,,
38,1.186779,1.224135,1.168101,0.869063,0.842876,0.908344,1.032926,1.039511,1.029633,0.92761,0.913132,0.949327,,,,,,,
38.5,1.193087,1.231705,1.173779,0.868376,0.842051,0.907863,1.033046,1.039655,1.029741,0.930713,0.916856,0.951499,,,,,,,
39,1.208775,1.25053,1.187898,0.869205,0.843046,0.908444,1.034157,1.040989,1.030742,0.933623,0.920347,0.953536,,,,,,,
39.5,1.21592,1.259104,1.194328,0.870302,0.844362,0.909211,1.043465,1.052158,1.039118,0.93625,0.9235,0.955375,,,,,,,
40,1.216801,1.260161,1.195121,0.872005,0.846406,0.910404,1.044793,1.053752,1.040314,0.938946,0.926735,0.957262,,,,,,,
40.5,1.22332,1.267984,1.200988,0.874421,0.849305,0.912095,1.046612,1.055934,1.041951,0.94089,0.929067,0.958623,,,,,,,
41,1.235553,1.282664,1.211998,0.874796,0.849755,0.912357,1.058577,1.070292,1.052719,0.941369,0.929643,0.958958,,,,,,,
41.5,1.241188,1.289426,1.217069,0.875823,0.850988,0.913076,1.067683,1.08122,1.060915,0.943293,0.931951,0.960305,,,,,,,
42,1.244912,1.293894,1.220421,0.876023,0.851228,0.913216,1.071571,1.085885,1.064414,0.945111,0.934133,0.961577,,,,,,,
42.5,1.257311,1.308774,1.23158,0.876023,0.851228,0.913216,1.076912,1.092294,1.06922,0.947345,0.936814,0.963142,,,,,,,
43,1.268075,1.32169,1.241268,0.876049,0.851259,0.913234,1.077022,1.092427,1.06932,0.947848,0.937417,0.963493,,,,,,,
43.5,1.279325,1.33519,1.251392,0.87747,0.852964,0.914229,1.078572,1.094286,1.070715,0.948223,0.937867,0.963756,,,,,,,
44,1.280535,1.336642,1.252481,0.877747,0.853296,0.914423,1.086431,1.103717,1.077788,0.949172,0.939006,0.96442,,,,,,,
44.5,1.28531,1.342372,1.256779,0.878682,0.854418,0.915077,1.092856,1.111427,1.08357,0.951403,0.941684,0.965982,,,,,,,
45,1.28531,1.342372,1.256779,0.878768,0.854522,0.915138,1.096556,1.115868,1.086901,0.958262,0.949914,0.970783,,,,,,,
45.5,1.289603,1.347524,1.260643,0.880172,0.856206,0.91612,1.102955,1.123546,1.09266,0.960024,0.952028,0.972016,,,,,,,
46,1.294087,1.352904,1.264678,0.882007,0.858408,0.917405,1.108925,1.13071,1.098032,0.961438,0.953726,0.973007,,,,,,,
46.5,1.298852,1.358623,1.268967,0.884307,0.861168,0.919015,1.111724,1.134069,1.100552,0.962757,0.955309,0.97393,,,,,,,
47,1.30556,1.366672,1.275004,0.886054,0.863265,0.920238,1.115018,1.138021,1.103516,0.964772,0.957726,0.97534,,,,,,,
47.5,1.330186,1.396223,1.297167,0.888716,0.866459,0.922101,1.121706,1.146048,1.109536,0.966272,0.959526,0.97639,,,,,,,
48,1.335617,1.40274,1.302055,0.889576,0.867491,0.922703,1.123143,1.147772,1.110829,0.969844,0.963813,0.978891,,,,,,,
48.5,1.348317,1.417981,1.313485,0.890482,0.868578,0.923337,1.128568,1.154281,1.115711,0.972028,0.966433,0.980419,,,,,,,
49,1.36575,1.438901,1.329175,0.890922,0.869106,0.923645,1.13033,1.156396,1.117297,0.973634,0.96836,0.981544,,,,,,,
49.5,1.372192,1.44663,1.334973,0.891567,0.86988,0.924097,1.134053,1.160863,1.120648,0.977047,0.972456,0.983933,,,,,,,
50,1.374037,1.448845,1.336634,0.891781,0.870137,0.924247,1.135372,1.162447,1.121835,0.978142,0.973771,0.9847,,,,,,,
50.5,1.383874,1.460649,1.345487,0.892613,0.871136,0.924829,1.136816,1.164179,1.123134,0.979812,0.975775,0.985869,,,,,,,
51,1.403212,1.483854,1.362891,0.894636,0.873563,0.926245,1.142797,1.171357,1.128517,0.982449,0.978939,0.987715,,,,,,,
51.5,1.421535,1.505841,1.379381,0.89553,0.874636,0.926871,1.145459,1.174551,1.130914,0.98391,0.980693,0.988737,,,,,,,
52,1.425716,1.510859,1.383144,0.898372,0.878046,0.92886,1.150493,1.180592,1.135444,0.98514,0.982168,0.989598,,,,,,,
52.5,1.434106,1.520928,1.390696,0.899896,0.879875,0.929927,1.153827,1.184593,1.138445,0.989322,0.987186,0.992525,,,,,,,
53,1.445497,1.534596,1.400947,0.900471,0.880565,0.93033,1.155862,1.187035,1.140276,0.99096,0.989152,0.993672,,,,,,,
53.5,1.471094,1.565313,1.423985,0.900542,0.88065,0.930379,1.16246,1.194952,1.146214,0.994549,0.993459,0.996185,,,,,,,
54,1.465744,1.558893,1.41917,0.901448,0.881738,0.931014,1.165595,1.198714,1.149036,0.998312,0.997975,0.998818,,,,,,,
54.5,1.469659,1.563591,1.422693,0.901915,0.882298,0.931341,1.165752,1.198903,1.149177,0.999921,0.999906,0.999945,,,,,,,
55,1.474612,1.569535,1.427151,0.90273,0.883276,0.931911,1.173529,1.208235,1.156176,1.002735,1.003282,1.002462,,,,,,,
55.5,1.478402,1.574083,1.430562,0.904333,0.8852,0.933033,1.178273,1.213928,1.160446,1.00374,1.004489,1.003366,,,,,,,
56,1.478402,1.574083,1.430562,0.90417,0.885004,0.932919,1.178304,1.213965,1.160474,1.008733,1.010479,1.007859,,,,,,,
56.5,1.482507,1.579009,1.434257,0.904468,0.885362,0.933128,1.181553,1.217863,1.163398,1.015807,1.018969,1.014227,,,,,,,
57,1.493801,1.592561,1.444421,0.90452,0.885424,0.933164,1.184341,1.221209,1.165907,1.016133,1.01936,1.01452,,,,,,,
57.5,1.505145,1.606174,1.454631,0.905441,0.886529,0.933809,1.18499,1.221988,1.166491,1.017855,1.021426,1.01607,,,,,,,
58,1.511519,1.613823,1.460367,0.905778,0.886934,0.934045,1.185147,1.222176,1.166632,1.020303,1.024364,1.018273,,,,,,,
58.5,1.519394,1.623273,1.467454,0.906442,0.88773,0.934509,1.188637,1.226364,1.169773,1.022966,1.027559,1.020669,,,,,,,
59,1.516588,1.619905,1.464929,0.906846,0.888215,0.934792,1.191462,1.229755,1.172316,1.029763,1.035715,1.026787,,,,,,,
59.5,1.506144,1.607373,1.45553,0.906846,0.888215,0.934792,1.193232,1.231878,1.173908,1.035536,1.042643,1.031982,,,,,,,
60,1.516588,1.619905,1.464929,0.906867,0.88824,0.934807,1.202908,1.24349,1.182618,1.039421,1.047305,1.035479,,,,,,,
60.5,1.529241,1.635089,1.476317,0.908092,0.88971,0.935664,1.209491,1.251389,1.188542,1.044003,1.052803,1.039603,,,,,,,
61,1.529404,1.635285,1.476464,0.909025,0.89083,0.936318,1.216281,1.259537,1.194653,1.045951,1.055142,1.041356,,,,,,,
61.5,1.524236,1.629083,1.471812,0.910591,0.892709,0.937414,1.217343,1.260812,1.195609,1.048784,1.058541,1.043906,,,,,,,
62,1.530634,1.636761,1.477571,0.91088,0.893056,0.937616,1.227622,1.273147,1.20486,1.053084,1.063701,1.047776,,,,,,,
62.5,1.53709,1.644508,1.483381,0.911548,0.893858,0.938084,1.228328,1.273994,1.205495,1.059862,1.071834,1.053876,,,,,,,
63,1.543907,1.652688,1.489516,0.912056,0.894467,0.938439,1.231644,1.277973,1.20848,1.061353,1.073624,1.055218,,,,,,,
63.5,1.54359,1.652308,1.489231,0.912763,0.895316,0.938934,1.234782,1.281738,1.211303,1.063975,1.076771,1.057578,,,,,,,
64,1.545302,1.654363,1.490772,0.914283,0.89714,0.939998,1.237671,1.285205,1.213904,1.064609,1.077531,1.058148,,,,,,,
64.5,1.560428,1.672514,1.504385,0.915808,0.89897,0.941066,1.241566,1.289879,1.217409,1.066266,1.079519,1.059639,,,,,,,
65,1.567738,1.681286,1.510965,0.91812,0.901744,0.942684,1.241753,1.290104,1.217578,1.071461,1.085753,1.064315,,,,,,,
65.5,1.584701,1.701642,1.526231,0.919331,0.903197,0.943532,1.249645,1.299574,1.22468,1.078476,1.094172,1.070629,,,,,,,
66,1.601021,1.721225,1.540919,0.919927,0.903912,0.943949,1.254202,1.305043,1.228782,1.084509,1.101411,1.076058,,,,,,,
66.5,1.6015,1.7218,1.54135,0.921648,0.905978,0.945154,1.264478,1.317373,1.23803,1.086327,1.103593,1.077695,,,,,,,
67,1.608017,1.72962,1.547215,0.921996,0.906395,0.945397,1.266596,1.319915,1.239936,1.086934,1.10432,1.07824,,,,,,,
67.5,1.614239,1.737087,1.552815,0.922465,0.906958,0.945726,1.269219,1.323063,1.242297,1.08924,1.107088,1.080316,,,,,,,
68,1.631438,1.757725,1.568294,0.923881,0.908657,0.946717,1.272909,1.327491,1.245618,1.092329,1.110795,1.083096,,,,,,,
68.5,1.640902,1.769083,1.576812,0.925239,0.910287,0.947667,1.274569,1.329483,1.247113,1.090053,1.108063,1.081047,,,,,,,
69,1.648023,1.777628,1.583221,0.925941,0.911129,0.948159,1.275818,1.330982,1.248236,1.094552,1.113463,1.085097,,,,,,,
69.5,1.652563,1.783076,1.587307,0.927339,0.912807,0.949137,1.281805,1.338166,1.253625,1.097066,1.116479,1.08736,,,,,,,
70,1.684656,1.821588,1.616191,0.927979,0.913575,0.949585,1.286547,1.343856,1.257892,1.103469,1.124162,1.093122,,,,,,,
70.5,1.68604,1.823248,1.617436,0.928355,0.914026,0.949849,1.289729,1.347674,1.260756,1.106533,1.12784,1.09588,,,,,,,
71,1.691311,1.829574,1.62218,0.929667,0.9156,0.950767,1.287501,1.345002,1.258751,1.107748,1.129297,1.096973,,,,,,,
71.5,1.703267,1.843921,1.632941,0.930008,0.91601,0.951006,1.301609,1.361931,1.271448,1.112324,1.134788,1.101091,,,,,,,
72,1.707682,1.849218,1.636913,0.93395,0.92074,0.953765,1.301864,1.362236,1.271677,1.114732,1.137678,1.103258,,,,,,,
72.5,1.718126,1.861751,1.646313,0.936954,0.924345,0.955868,1.303756,1.364507,1.27338,1.116254,1.139505,1.104629,,,,,,,
73,1.726626,1.871951,1.653963,0.937406,0.924887,0.956184,1.305922,1.367107,1.27533,1.119636,1.143563,1.107673,,,,,,,
73.5,1.726626,1.871951,1.653963,0.938307,0.925968,0.956815,1.308695,1.370433,1.277825,1.126148,1.151377,1.113533,,,,,,,
74,1.731593,1.877911,1.658433,0.939128,0.926954,0.95739,1.309703,1.371644,1.278733,1.13006,1.156072,1.117054,,,,,,,
74.5,1.748847,1.898616,1.673962,0.94128,0.929536,0.958896,1.313523,1.376228,1.282171,1.137114,1.164537,1.123402,,,,,,,
75,1.764929,1.917915,1.688436,0.942314,0.930777,0.95962,1.313523,1.376228,1.282171,1.13844,1.166128,1.124596,,,,,,,
