NK-92 VL,NK-92 VH
64.54513063,71.06420709
10.25856792,1.457793932
11.56370007,728.7759302
141.7580908,145.2154364
169.415918,445.3076
187.3658936,443.9805933
34.80964112,514.9818
516.3532867,329.0755073
91.20095832,65.03714935
426.1106596,705.6396749
317.4924806,844.5546979
122.5133775,432.8883024
756.0028121,493.2205459
292.878132,341.4387
236.7152065,515.6644627
863.0602,136.6122018
167.9073058,393.0753417
534.451231,73.20261564
254.9991,392.3604779
39.99276224,282.5366807
134.8090355,402.8906519
80.92614408,750.0524551
273.5643519,194.5425369
831.114985,249.6332871
300.2488311,148.2958287
192.4587448,92.46272502
143.2968799,10.96208317
3.977022534,11.40616588
706.5826551,307.4655968
328.8870849,400.9498516
336.0886736,856.5557738
408.0788285,219.0158439
183.4752406,576.0564345
206.3329564,596.3952299
260.5030338,514.1123092
37.82149992,517.4312931
106.5476192,1014.195395
269.5106627,637.3875525
2.783552803,242.1450956
279.2558877,449.4913485
672.547627,255.3970601
134.9550533,370.1593998
217.0429593,648.0688313
100.3356191,574.4423134
240.2963166,292.4668189
681.5691291,656.3469541
224.0247995,440.8198533
283.0846166,256.4908725
2.005494909,43.10630785
194.2451,440.147
395.8711,99.03909
206.5213031,271.7551457
229.0175705,537.4732154
514.4539862,66.93971131
494.1866,437.4844
4.518066,150.2474724
509.9782044,146.6728485
185.1144809,473.3260296
215.0597715,198.0893603
13.29078728,516.0489521
267.7868037,726.3514121
141.9785632,553.1443422
54.63655919,744.8178557
163.5985387,909.5461694
561.8472614,161.9673557
359.4798585,474.6668983
1.69746805,24.25850003
173.977596,367.3956524
600.2488058,670.6376
35.52833212,121.4074923
106.86775,192.2206454
8.400453725,591.613548
117.0861506,742.7323388
142.3585814,246.922395
96.74732,443.05861
428.2195478,275.6718057
159.4703534,570.8972287
63.37715697,629.223853
105.99569,91.48799883
116.3889097,177.5144873
122.1880125,618.8442174
5.438368292,342.5286801
54.72245825,274.5567716
94.82061794,479.801653
148.8672932,484.6696252
28.93121581,222.7656173
100.2187031,209.1822789
186.4818967,343.3180337
224.1447057,106.7934083
