"FSC-A", "FSC-H", "SSC-A", "FL-A", "PE-A", "PerCP-A", "Cy55PerCP-A", "Cy7PE-A", "APC-A", "Alexa700-A", "Cy7APC-A", "PacB-A", "AmCy-A", "QDot605-A", "BUV395-A", "BUV737-A", "BUV496-A", "Time", "Comp-FL-A", "Comp-PE-A", "Comp-PerCP-A", "Comp-Cy55PerCP-A", "Comp-Cy7PE-A", "Comp-APC-A", "Comp-Alexa700-A", "Comp-Cy7APC-A", "Comp-PacB-A", "Comp-AmCy-A", "Comp-QDot605-A", "Comp-BUV395-A", "Comp-BUV737-A", "Comp-BUV496-A", "Event #"
161640,122329,117891,386.26,73.78,110.98,267.22,-35.34,227.84,177.28,54.4,783.13,2364.3,990.45,835.2,296.32,34489.6,0.865,379.526,-24.0654,108.73,32.4319,-65.632,225.72,138.79,51.6932,628.253,2007.17,-151.417,309.364,-415.786,27059.9,312
201686,154525,136169,646.66,220.1,156.86,452.6,127.1,371.84,-69.12,33.92,1144.52,2986.26,2084.56,435.84,170.88,10958.7,0.87,633.608,111.726,136.605,75.9497,82.8722,369.262,-197.306,61.3042,956.288,2459.63,637.114,441.443,-359.018,1734.1,315
201284,142984,115916,305.04,194.06,66.96,273.42,94.86,-7.04,-94.08,-42.88,944.3,1974.51,1225.46,256,122.24,8462.72,0.879,297.105,144.42,47.1135,121.922,64.8848,-9.24816,-78.2197,-23.8834,826.752,1538.4,356.172,218.088,-149.192,2651.75,317
240091,180317,240886,823.98,157.48,85.56,877.92,73.16,259.84,212.48,19.84,1498.81,3833.29,1952.5,754.56,240.64,22463.4,0.89,806.215,42.0093,44.3953,755.247,-55.2019,244.083,101.013,6.5625,1253.29,3130.61,325.45,556.111,-478.174,10730.5,328
160271,131449,164872,558,110.98,70.06,133.92,52.7,581.12,297.6,90.88,1165.82,2923.07,1475.38,1411.84,339.2,47616,0.923,547.039,-8.37971,64.5975,-19.9771,43.289,579.997,111.105,65.5019,982.847,2373.79,203.585,665.399,-544.85,38652.4,345
237167,144368,186729,463.14,218.86,84.94,338.52,42.16,-21.76,148.48,-25.6,1104.76,3170.15,1514.43,1310.08,493.44,73120.6,0.939,454.324,84.8327,67.6589,178.176,1.14425,-26.0142,262.828,-24.0374,898.165,2669.89,84.1291,59.6397,-603.311,63321.2,355
233108,155247,237637,1485.52,523.28,261.64,747.72,82.46,114.56,-51.2,26.88,1284.39,4235.86,2500.62,236.8,90.88,3258.24,0.944,1470.32,314.216,217.706,174.859,2.34801,109.294,-36.6277,65.1072,1002.03,3609.51,313.088,467.324,-513.855,-10182.9,361
219446,160872,206794,548.08,199.64,200.88,549.94,25.42,-5.12,-172.8,-22.4,776.74,2467.96,1020.98,1338.24,374.4,52304.6,0.946,540.549,47.2317,188.996,137.965,-38.6592,-9.12113,-55.9116,53.9561,613.703,2111.39,-312.539,506.261,-727.154,44443.7,363
233259,177231,167739,559.86,195.92,89.28,420.98,42.78,329.6,182.4,-26.24,1380.95,3452.73,1726.01,868.48,167.04,21699.8,0.952,546.494,103.898,65.1266,250.855,-9.99808,324.501,77.7035,-33.9969,1163.9,2815.55,209.704,666.922,-455.725,11147.4,367
226170,149767,160308,414.16,277.76,271.56,337.9,50.22,20.48,140.16,83.2,1039.44,2600.73,1371.72,1267.2,641.28,60000.6,0.952,407.746,110.8,272.178,-304.316,32.1424,23.566,261.985,89.5663,877.198,2107.83,-97.7602,241.244,-585.057,52115.7,368
235672,162004,178403,470.58,108.5,71.92,541.26,-17.98,140.8,-8.96,24.96,1042.28,2817.99,1671.34,1287.68,652.8,61662.7,0.977,459.482,-10.0025,51.7088,399.647,-92.2868,131.862,-48.6216,53.1067,860.799,2349.19,440.269,256.419,-363.475,52937.1,378
177029,138641,215749,1049.04,179.18,208.94,505.3,76.88,276.48,62.08,-2.56,639.71,2284.07,1565.55,483.84,298.24,17020.2,0.983,1040.38,4.03921,198.702,11.1755,26.9605,275.291,-3.72432,5.40426,485.579,1951.21,300.551,308.802,-378.85,9725.23,383
184975,143724,144397,486.08,147.56,66.96,537.54,-31.62,250.88,272,125.44,807.27,2098.76,1180.73,424.96,41.6,10995.2,0.984,474.866,78.726,38.5574,430.284,-108.351,240.111,180.408,105.154,671.441,1710.88,255.625,340.893,-400.679,4543.86,385
150665,120464,230003,549.94,143.84,96.1,211.42,125.24,186.24,-96.64,-29.44,675.92,2119.35,1154.46,751.36,304,16521.6,0.986,543.057,49.8176,87.3642,-11.1056,106.625,186.646,-167.504,-8.71571,537.743,1807.98,116.247,580.374,-171.314,9756.5,387
217819,150185,219399,632.4,161.82,226.92,216.38,188.48,291.2,450.56,21.12,1182.86,3545.03,1586.14,1969.28,1163.52,73077.8,0.988,624.627,-33.9751,237.924,-337.017,182.217,296.839,378.558,-59.8794,952.783,2988.58,-231.307,707.72,-272.528,61988.1,389
194011,158005,174053,476.78,78.12,72.54,213.9,131.44,171.52,105.6,80.64,1525.08,3819.09,1779.97,1119.36,92.16,26060.2,0.99,466.026,-10.3417,66.2536,61.1356,108.701,168.545,100.679,85.4952,1286.06,3123.02,139.59,862.255,-565.41,14323.9,390
226802,168093,177477,537.54,88.66,199.02,432.76,-18.6,487.04,396.16,-50.56,1129.61,3295.82,1647.91,1681.28,479.36,63330.6,0.995,526.93,-75.6517,200.067,-12.1801,-60.9926,486.55,323.709,-70.428,915.377,2770.03,5.02032,651.052,-853.365,53054.8,391
179130,141920,115975,335.42,98.58,81.22,1.24,44.64,209.92,90.24,19.2,755.44,1967.41,653.91,871.04,306.56,38565.8,1.003,331.048,5.97519,85.4798,-177.427,53.7571,212.795,63.9729,17.9029,632.027,1617.5,-272.323,237.077,-325.803,32532.7,394
216307,158676,146218,361.46,109.74,29.76,181.04,62.62,380.16,163.84,33.92,878.27,2108.7,1116.12,1185.92,584.96,40141.4,1.021,352.357,29.5406,17.7889,118.429,39.8569,377.6,-21.8876,7.43344,747.599,1702.21,236.725,517.501,-100.818,33708.4,406
207476,150504,140141,209.56,34.72,46.5,175.46,42.16,277.12,110.72,1.92,722.78,2349.39,1005.36,1200.64,268.8,42349.4,1.022,202.453,-36.4437,43.2112,95.5714,20.0762,274.817,50.6112,7.02656,567.254,2040.78,-51.1383,534.609,-477.569,34830.3,409
189337,147012,126705,492.9,128.34,150.66,40.92,29.76,58.24,37.76,7.04,781.71,2227.27,1006.07,960.64,161.92,39884.2,1.068,489.713,-0.66594,160.055,-315.586,43.8576,63.1002,148.284,33.0084,639.299,1854.28,-146.617,331.22,-609.393,32964.4,432
139519,120369,85209.7,319.92,51.46,59.52,293.26,161.82,328.32,37.76,41.6,794.49,1983.74,1052.22,497.92,10.24,9608.96,1.079,310.536,-1.7922,48.3028,174.874,124.716,324.179,-76.7444,43.9854,670.106,1621.72,177.445,460.274,-367.462,3497.54,436
228605,134982,197180,561.72,148.18,130.82,486.7,104.78,131.2,12.16,161.28,971.99,2859.17,1101.21,1177.6,186.24,45979.5,1.083,551.69,17.9609,115.889,248.786,40.6117,123.003,54.4263,197.837,784.687,2410.98,-264.436,486.159,-763.376,36960.3,441
229870,133760,166635,356.5,193.44,88.66,251.1,53.94,69.76,-23.04,-31.36,1130.32,2813.02,1603.89,1630.72,769.92,70791,1.087,347.981,70.4055,77.3615,43.4485,30.0473,68.6273,-5.6941,-10.5977,954.85,2302.53,335.668,409.451,-332.145,62201.9,443
154614,123432,149064,754.54,264.12,179.8,279,16.12,289.28,-98.56,-9.6,536.05,2218.04,1566.26,596.48,230.4,12793.6,1.164,747.101,133.78,167.796,-153.903,0.404165,291.641,-177.163,30.7674,385.178,1965.76,312.507,521.003,-308.14,5496.52,484
143560,116320,140663,331.08,164.92,109.12,429.66,-16.74,-36.48,-74.24,0.64,665.98,2000.78,1088.43,709.76,270.72,33593.6,1.189,324.181,77.8518,92.3528,206.908,-70.3013,-41.5794,-3.73902,41.6486,534.498,1703.67,95.4167,191.268,-398.738,27301.4,495
169459,141284,140978,360.22,199.02,44.02,442.06,66.96,260.48,230.4,168.96,1134.58,3018.21,1732.4,917.12,272.64,20224.6,1.2,346.792,141.905,12.8505,371.935,4.97757,250.616,103.33,142.966,940.892,2506.18,440.049,707.177,-290.913,10823,509
189869,143722,163892,406.72,234.98,86.18,425.94,19.22,439.04,95.36,97.28,1063.58,2992.65,1726.01,1512.32,296.96,57056,1.207,393.107,125.75,59.6932,269.851,-33.3922,431.614,-12.1199,124.918,870.087,2518.28,364.555,613.618,-742.735,47655.2,517
168166,137376,125680,193.44,191.58,127.1,393.7,71.92,107.52,248.32,15.36,664.56,1970.25,1243.21,787.2,379.52,36942.1,1.235,185.485,109.819,111.38,108.95,28.3067,104.289,261.381,-13.7768,535.022,1671.06,232.827,172.79,-391.474,30811.9,539
223581,160601,132185,478.64,279,401.76,706.18,41.54,346.88,160,-7.68,1084.17,2545.35,1615.25,532.48,394.24,16827.5,1.317,467.812,118.821,397.3,-241.228,-17.6995,349.74,127.615,0.996734,928.342,2025.8,-5.28805,379.154,-606.503,9196.17,599
