,158VV48LH,,,158VV48LL,,,,,,,
Time (Seconds),3G8,SKOV-3,221,3G8,SKOV-3,221,,,,,
78.511,1.967298,1.124412,4.050393,1.58489,1.06508,3.5858,,,,,
79.011,1.966879,1.124725,4.05186,1.584631,1.064924,3.586131,,,,,
79.511,1.966554,1.125075,4.050393,1.584429,1.064355,3.587216,,,,,
80.011,1.968763,1.125449,4.059959,1.583366,1.064035,3.588723,,,,,
80.511,1.968886,1.125856,4.062785,1.583572,1.063828,3.587216,,,,,
81.011,1.969409,1.125981,4.062583,1.584507,1.063456,3.58912,,,,,
81.511,1.971034,1.12561,4.067116,1.584622,1.063408,3.586131,,,,,
82.011,1.972399,1.125813,4.065515,1.584631,1.062927,3.586741,,,,,
82.511,1.972396,1.126226,4.070026,1.583556,1.063389,3.585271,,,,,
83.011,1.97283,1.126477,4.069266,1.583622,1.063256,3.585183,,,,,
83.511,1.973346,1.126909,4.069912,1.583447,1.064018,3.58552,,,,,
84.011,1.973972,1.127497,4.073497,1.583226,1.064081,3.585087,,,,,
84.511,1.974914,1.127776,4.073797,1.583474,1.063743,3.583506,,,,,
85.011,1.976631,1.128706,4.074144,1.582453,1.063743,3.585183,,,,,
85.511,1.977779,1.128859,4.07626,1.583078,1.063376,3.584215,,,,,
86.011,1.977234,1.129039,4.079922,1.583068,1.063771,3.585183,,,,,
86.511,1.977831,1.12911,4.081377,1.582553,1.06217,3.583013,,,,,
87.011,1.978443,1.129155,4.084548,1.582545,1.063929,3.580925,,,,,
87.511,1.979936,1.129168,4.083544,1.582332,1.064665,3.579395,,,,,
88.011,1.980302,1.12949,4.083516,1.582313,1.064852,3.579395,,,,,
88.511,1.980691,1.12998,4.083454,1.582074,1.065136,3.578764,,,,,
89.011,1.981501,1.130508,4.083703,1.582172,1.066022,3.577099,,,,,
89.511,1.982611,1.130802,4.083826,1.581927,1.06736,3.573442,,,,,
90.011,1.983635,1.130941,4.084279,1.581585,1.066754,3.571092,,,,,
90.511,1.984412,1.131154,4.083623,1.580781,1.067116,3.570954,,,,,
91.011,1.985247,1.131732,4.085562,1.580157,1.067272,3.568165,,,,,
91.511,1.985174,1.132149,4.084883,1.579561,1.067722,3.567234,,,,,
92.011,1.985481,1.131934,4.092551,1.579422,1.067437,3.5678,,,,,
92.511,1.985468,1.132237,4.096546,1.579206,1.06716,3.567959,,,,,
93.011,1.985998,1.132398,4.0932,1.578821,1.067491,3.566672,,,,,
93.511,1.98716,1.132398,4.090889,1.578556,1.067433,3.567252,,,,,
94.011,1.987908,1.132504,4.084883,1.57791,1.067784,3.566661,,,,,
94.511,1.989294,1.132529,4.091736,1.57762,1.067659,3.566226,,,,,
95.011,1.989914,1.132692,4.093742,1.576873,1.068126,3.566483,,,,,
95.511,1.990996,1.133099,4.091937,1.576265,1.068434,3.567271,,,,,
96.011,1.991278,1.133431,4.095843,1.575773,1.067579,3.567234,,,,,
96.511,1.991062,1.133326,4.092715,1.575663,1.066482,3.567271,,,,,
97.011,1.991308,1.133661,4.087917,1.575307,1.06652,3.567838,,,,,
97.511,1.992023,1.133808,4.084548,1.575284,1.066366,3.567252,,,,,
98.011,1.992459,1.133908,4.084785,1.57467,1.066046,3.568165,,,,,
98.511,1.993356,1.134197,4.083703,1.573841,1.065746,3.566904,,,,,
99.011,1.99375,1.13463,4.084686,1.573725,1.064836,3.565825,,,,,
99.511,1.994104,1.134693,4.083544,1.573187,1.064673,3.565022,,,,,
100.011,1.995143,1.135042,4.08338,1.573339,1.064799,3.565825,,,,,
100.511,1.995195,1.135309,4.083826,1.573074,1.066437,3.565476,,,,,
101.011,1.995877,1.135309,4.085883,1.572805,1.066355,3.562986,,,,,
101.511,1.996482,1.135451,4.084883,1.572434,1.067996,3.562948,,,,,
102.011,1.997279,1.135608,4.085883,1.571923,1.06785,3.561101,,,,,
102.511,1.99788,1.135608,4.085223,1.571363,1.066688,3.559641,,,,,
103.011,1.999157,1.136273,4.087917,1.571239,1.067272,3.560467,,,,,
103.511,1.999762,1.136063,4.092772,1.570679,1.066863,3.561101,,,,,
104.011,2.000093,1.136037,4.092139,1.570446,1.066998,3.559674,,,,,
104.511,2.000313,1.136188,4.091475,1.569977,1.066441,3.560524,,,,,
105.011,2.000585,1.136283,4.092605,1.569762,1.066348,3.560637,,,,,
105.511,2.001001,1.136684,4.092605,1.569675,1.066473,3.560409,,,,,
106.011,2.001156,1.136663,4.093742,1.569697,1.06662,3.556869,,,,,
106.511,2.001886,1.13684,4.094303,1.568899,1.067307,3.558719,,,,,
107.011,2.002085,1.136855,4.092551,1.569309,1.066609,3.555785,,,,,
107.511,2.002139,1.13718,4.093877,1.569017,1.066031,3.556413,,,,,
108.011,2.002081,1.137454,4.092715,1.568598,1.065925,3.556869,,,,,
108.511,2.002417,1.13753,4.088408,1.568279,1.065362,3.555585,,,,,
109.011,2.002727,1.137327,4.090564,1.568257,1.066076,3.555241,,,,,
109.511,2.003339,1.13753,4.090246,1.568257,1.065421,3.552792,,,,,
110.011,2.003995,1.137234,4.0896,1.567853,1.065467,3.553253,,,,,
110.511,2.003849,1.137212,4.092659,1.567467,1.06525,3.550325,,,,,
111.011,2.004241,1.137255,4.086815,1.566822,1.065963,3.550081,,,,,
111.511,2.004473,1.137402,4.086815,1.566564,1.065263,3.551505,,,,,
112.011,2.004233,1.137289,4.085187,1.566341,1.06451,3.552032,,,,,
112.511,2.004233,1.137415,4.083703,1.566516,1.066359,3.551734,,,,,
113.011,2.004771,1.137454,4.083454,1.56653,1.065978,3.554234,,,,,
113.511,2.00482,1.137624,4.083663,1.566335,1.065978,3.55362,,,,,
114.011,2.004387,1.13761,4.083949,1.566316,1.065869,3.5511,,,,,
114.511,2.005099,1.137616,4.085997,1.565977,1.065248,3.551407,,,,,
115.011,2.005072,1.137713,4.085356,1.566,1.06478,3.551287,,,,,
115.511,2.00511,1.137924,4.085249,1.565607,1.064763,3.550213,,,,,
116.011,2.005071,1.13799,4.08578,1.565383,1.064707,3.549599,,,,,
116.511,2.004443,1.137947,4.087591,1.56537,1.065425,3.549599,,,,,
117.011,2.005071,1.137983,4.085997,1.564875,1.065051,3.547408,,,,,
117.511,2.005272,1.13797,4.084617,1.564767,1.065205,3.545246,,,,,
118.011,2.006172,1.137957,4.083386,1.564549,1.066213,3.545591,,,,,
118.511,2.005476,1.137957,4.083454,1.564549,1.066641,3.547014,,,,,
119.011,2.005773,1.13797,4.083516,1.564292,1.066562,3.549379,,,,,
119.511,2.005999,1.13812,4.083085,1.563997,1.066739,3.549093,,,,,
120.011,2.006336,1.138286,4.079398,1.563613,1.067233,3.549379,,,,,
120.511,2.006864,1.13819,4.077971,1.56356,1.067006,3.545904,,,,,
121.011,2.007266,1.13836,4.077643,1.563297,1.067352,3.543855,,,,,
121.511,2.007808,1.1383,4.078778,1.562806,1.067352,3.542761,,,,,
122.011,2.007644,1.138033,4.077311,1.562533,1.066929,3.542042,,,,,
