LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(pixel),(pixel),(pixel),(pixel),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(quality),(pixel),(pixel),,(pixel/sec),,(rad/sec)
Track_7,7,7,95,0,0,0,0,0,94.0,2.0,96.0,18.57987243289839,682.9861680932611,1404.1314336185126,0.0,1.8002564191681818,13.631289691622767,0.07509835885081216,1.15358696498067,2.1200570399594127,50.332842696340464,169.22410340180912,24.320898371597327,0.10979447997890683,0.19765821737125946,0.10979447997890684,1.3183532554775006
Track_8,8,8,8,1,0,0,0,1,8.0,2.0,10.0,113.44156890879022,763.0203928468907,1623.7111125933825,0.0,32.0157973728555,74.42440645494659,1.3964626632142805,15.130087028924498,30.38002962298291,56.76985168457031,260.53156545770054,121.0475678843249,0.4354235108114314,14.180196113598777,0.44291247687685,1.607683555908712
Track_9,9,9,95,0,0,0,0,0,94.0,2.0,96.0,19.982735679122204,634.5820266791135,1104.1632102837007,0.0,6.472838946496555,43.842825364478685,0.177350754703039,3.5088940498550314,8.36149099641875,46.34225688733552,608.4468609706762,66.05891748328082,0.032842203585770925,0.21258229445874685,0.032842203585770925,1.485480213748359
Track_10,10,10,52,1,0,0,0,1,52.0,2.0,54.0,147.65897704180026,1435.0825803799091,1377.2341516077386,0.0,7.2879033963191855,56.86081637930583,0.20497634712296847,2.6479800745878963,12.242999488843003,33.431500948392426,394.87637761609983,148.2477301283299,0.3739372254507329,2.839595712342313,0.3896313600666652,1.679985211998913
Track_11,11,11,3,0,0,0,0,0,2.0,3.0,5.0,4.854797088578705,1374.2202482067194,833.593387041975,0.0,3.6788311012136585,5.631996002787494,1.7256661996398237,5.631996002787494,2.762192293356829,25.660196940104168,7.357662202427317,4.854797088578705,0.6598287547065006,2.4273985442893524,0.6598287547065006,2.1803515870588615
Track_12,12,12,20,0,0,0,0,0,19.0,3.0,22.0,194.51869087664187,869.8524550903209,1384.2312148811639,0.0,15.63709336959485,67.68970237333049,0.2784218021851228,1.4719896744963719,21.841710016718615,34.07118225097656,297.10477402230214,194.51869087664187,0.654714120689425,10.23782583561273,0.6547141206894249,1.2610614684744037
Track_13,13,13,35,1,0,0,0,1,35.0,3.0,38.0,795.0993077647507,1324.0875615840087,981.1586167438207,0.0,28.641502550831238,119.18187853439497,0.3437906531271479,6.458029540823843,40.53957590797663,41.799717494419646,990.1861949521549,795.0993077647507,0.8029795929473339,22.717123078992877,0.7931540267021913,0.9192018060046793
Track_14,14,14,94,0,0,0,0,0,93.0,3.0,96.0,367.99304189189036,1198.4381531551956,1592.5726871749607,0.0,6.163846152869651,92.99866157056032,0.09739165359225802,1.0329448771681158,15.74101794602068,64.5790249438996,573.2376922168775,369.47291270045315,0.6419554172524033,3.9569144289450575,0.6419554172524033,1.3437164714838858
Track_15,15,15,93,1,0,0,0,1,93.0,3.0,96.0,141.22483426067453,368.5872420566175,940.1179121094326,0.0,6.57305913373462,91.16477522189788,0.08325771108069442,1.997111208798245,12.240794491845602,52.576252598916334,606.0680703050884,150.4594407354314,0.23301810667831982,1.5185466049534895,0.2310258547895789,1.3684940904287373
Track_16,16,16,90,1,0,0,0,1,90.0,3.0,93.0,9.952264791609236,948.5632786235427,840.4737937875774,0.0,2.475782522577944,25.928168240312004,0.02425255289056995,1.04080913174961,3.7453292553845237,38.58910454644097,220.40846769881205,21.48473739164794,0.04515373159441858,0.11058071990676929,0.04466495699776793,1.7494588458210858
Track_17,17,17,53,0,0,0,0,0,52.0,3.0,55.0,80.95577267432455,802.5806931463698,1458.2970512068237,0.0,7.563582066610923,52.25088748487067,0.7057507003962468,4.323555995370547,10.772678069756848,52.64304913214917,393.306267463768,99.3430222166879,0.2058339247842836,1.556841782198549,0.20583392478428358,1.524290337497151
Track_18,18,18,94,0,0,0,0,0,93.0,3.0,96.0,60.586215768008074,566.6972413511145,831.360555200294,0.0,4.4281691592426515,52.355532061501464,0.19988790736367854,2.038395481473335,8.01783392274088,46.81757111245013,411.81973180956663,117.44740029791761,0.1471182925154842,0.6514646856775062,0.1471182925154842,1.4912300562540923
