NK-92 VL,NK-92 VH
25.27740001,79.549015
21.07254,56.7259
38.75453085,70.47243997
1.261130535,26.03908588
105.6468765,161.395153
43.08315841,2.336460467
101.9173182,309.4072612
14.12024218,1.093772793
2.058749619,1.081586454
0.529121029,0.11362373
57.22203234,129.4986234
1.517551878,97.41940257
29.90765384,36.88911745
85.82417179,189.810433
2.184866932,27.48941738
1.66802087,4.74277838
0.267864287,117.9869653
0.228731227,243.8607074
101.0890877,0.085786
94.94414,589.9084449
96.86945461,35.50243202
35.25417807,131.9887277
84.4071264,205.7456649
0.802243594,59.71019933
10.31640755,5.969788831
1.193396481,56.7190704
8.34916,12.22276
0.082537,11.4238
233.4994739,7.115954505
8.559826432,140.7096852
0.292935797,13.35432933
3.264873664,4.190481949
96.25844675,3.720612983
54.59608234,25.66112908
3.26548176,169.6017075
8.705419261,82.41388044
2.762800875,162.9476652
3.712122957,80.91516177
161.692926,69.10921
0.96506569,175.3371815
101.4876546,59.09646751
18.88852929,41.06260842
159.6294398,240.5387289
3.693767121,37.37703602
3.042843716,49.79561934
36.50890925,8.55972425
12.69433971,128.2918
40.82703186,239.7551865
136.7903529,117.2059795
0.951532707,258.7641821
1.418879159,81.73473
184.4941527,2.146626964
3.7314958,26.98758318
11.65596473,18.26407787
155.6895029,69.16969933
141.0733743,33.30329506
442.7373303,107.7009027
41.7986758,0.615213387
266.7226321,0.587885234
54.93966228,166.6890975
140.7173894,76.65799687
19.53618185,247.3361076
3.89357101,203.5544935
31.49815325,30.48463185
137.5643674,149.1177497
5.556828515,225.194891
289.7702674,3.682235
46.25878096,28.16007341
132.2052701,78.65206687
4.849892121,61.94351457
40.65177822,15.79804246
42.62471087,190.3285785
11.76011198,21.81419
1.414300715,70.2281242
1.373185496,8.671202193
70.66796015,218.3851068
7.124917873,17.39593473
131.5135555,85.0820253
2.013836736,3.860130775
132.8289207,8.560495044
339.7876962,7.886412544
11.54661485,25.89162
3.454188898,2.095423008
0.666434,35.15939559
42.84375932,130.5643055
0.747722749,4.584315393
66.50118745,131.8852243
0.554065603,151.0856309
73.51392202,104.2763181
2.207428934,161.7595809
130.2063456,72.45795743
21.22727079,399.5958722
36.79527972,70.21110944
1.347360374,67.134016
2.557662917,158.0154368
335.8995878,92.88373332
33.69980053,577.1246802
2.637865827,20.30380566
6.357069075,3.049974802
145.0466694,44.20713373
47.5763,151.4557288
51.72208576,44.31483358
7.254457,391.0584014
19.01983152,36.54727789
42.58068,283.9927649
37.18300759,110.5668471
77.67133052,138.5751917
97.41002917,51.07685794
164.2705105,116.4644223
156.4030659,1.209547276
26.36304479,3.633439581
190.2948551,491.6837997
0.999986,276.3409301
23.33764,57.29704349
14.31790013,9.588538306
1.767881471,19.37017068
55.0399379,14.66801344
0.733455526,109.4577305
98.9136179,14.9460813
5.155178123,200.8540189
0.356071178,357.8437197
8.750370502,16.94719395
17.9742,61.07533803
12.08751277,161.3174545
62.10918193,1.632470452
68.19320532,4.52117228
46.01273596,331.0030551
67.03720421,194.4691832
45.80215985,146.9717992
0.657556934,59.11359711
89.81876296,204.3401505
31.66649646,23.51373403
109.6605982,58.63008
163.9737385,36.05613345
7.282015554,0.662159606
26.85920439,80.5012824
4.122818076,58.93623018
112.5985585,14.00488354
9.646544598,294.5110749
