Condition,VH + ζ + SKOV + Her 1,VH + ζ + SKOV + Her 2,VH + ζ + SKOV + Her 3,VL + ζ + SKOV + Her 1,VL + ζ + SKOV + Her 2,VL + ζ + SKOV + Her 3,VH + ζ + SKOV 1,VH + ζ + SKOV 2,VH + ζ + SKOV 3,VL + ζ + SKOV 1,VL + ζ + SKOV 2,VL + ζ + SKOV 3
Seconds,,,,,,,,,,,,
38.5,1.196588,1.235905,1.176929,1.006308,1.949926,1.759941,0.927668,0.913201,0.855336,0.936022,0.923226,0.840054
39,1.205757,1.246909,1.185181,1.006308,1.956211,1.764969,0.923005,0.907606,0.84601,0.936493,0.923791,0.841232
39.5,1.21249,1.254988,1.191241,1.008466,1.965419,1.772335,0.92274,0.907288,0.84548,0.935508,0.922609,0.838769
40,1.216469,1.259763,1.194822,1.008466,1.96953,1.775624,0.92024,0.904288,0.840479,0.936029,0.923235,0.840073
40.5,1.222939,1.267527,1.200645,1.008466,1.97382,1.779056,0.921557,0.905868,0.843114,0.936937,0.924324,0.842343
41,1.228653,1.274384,1.205788,1.008466,1.980145,1.784116,0.924298,0.909158,0.848596,0.936493,0.923791,0.841232
41.5,1.228653,1.274384,1.205788,1.008466,1.99233,1.793864,0.928591,0.914309,0.857182,0.935508,0.922609,0.838769
42,1.229256,1.275107,1.206331,1.008466,2.007823,1.806258,0.928448,0.914137,0.856895,0.935427,0.922512,0.838568
42.5,1.233618,1.280342,1.210256,1.008466,2.019411,1.815529,0.924582,0.909498,0.849163,0.934729,0.921675,0.836822
43,1.234183,1.281019,1.210765,1.01498,2.026965,1.821572,0.921345,0.905614,0.842689,0.934452,0.921342,0.836129
43.5,1.242972,1.291566,1.218675,1.017678,2.036598,1.829278,0.920257,0.904308,0.840513,0.933904,0.920685,0.834761
44,1.247936,1.297523,1.223142,1.021487,2.048363,1.838691,0.920398,0.904478,0.840797,0.934066,0.920879,0.835165
44.5,1.251856,1.302227,1.22667,1.027001,2.069666,1.855733,0.920407,0.904488,0.840813,0.934174,0.921009,0.835436
45,1.262764,1.315317,1.236488,1.035777,2.074034,1.859228,0.920398,0.904478,0.840797,0.934304,0.921165,0.83576
45.5,1.270505,1.324606,1.243455,1.035777,2.092681,1.874145,0.920598,0.904718,0.841196,0.934434,0.92132,0.836084
46,1.273108,1.32773,1.245797,1.037391,2.100435,1.880348,0.921268,0.905522,0.842536,0.93445,0.92134,0.836125
46.5,1.279203,1.335043,1.251282,1.036806,2.129565,1.903652,0.921345,0.905614,0.842689,0.934452,0.921342,0.836129
47,1.283587,1.340305,1.255229,1.038364,2.144955,1.915964,0.921415,0.905697,0.842829,0.93445,0.92134,0.836125
47.5,1.285773,1.342927,1.257195,1.039336,2.161925,1.92954,0.921415,0.905697,0.842829,0.934452,0.921342,0.836129
48,1.297124,1.356549,1.267412,1.04045,2.178835,1.943068,0.921475,0.90577,0.84295,0.934452,0.921342,0.836129
48.5,1.308735,1.370482,1.277861,1.043779,2.18781,1.950248,0.921415,0.905697,0.842829,0.934519,0.921423,0.836298
49,1.325342,1.39041,1.292807,1.045994,2.203429,1.962743,0.921475,0.90577,0.84295,0.934519,0.921423,0.836298
49.5,1.330166,1.396199,1.297149,1.062835,2.212977,1.970381,0.921415,0.905697,0.842829,0.934585,0.921502,0.836462
