"FSC-A", "FSC-H", "SSC-A", "FL-A", "PE-A", "PerCP-A", "Cy55PerCP-A", "Cy7PE-A", "APC-A", "Alexa700-A", "Cy7APC-A", "PacB-A", "AmCy-A", "QDot605-A", "BUV395-A", "BUV737-A", "BUV496-A", "Time", "Event #", "Comp-FL-A", "Comp-PE-A", "Comp-PerCP-A", "Comp-Cy55PerCP-A", "Comp-Cy7PE-A", "Comp-APC-A", "Comp-Alexa700-A", "Comp-Cy7APC-A", "Comp-PacB-A", "Comp-AmCy-A", "Comp-QDot605-A", "Comp-BUV395-A", "Comp-BUV737-A", "Comp-BUV496-A"
240047,178981,226836,692.54,239.32,171.74,398.04,32.86,67.84,0,0.64,1466.15,4151.37,2028.47,1736.32,338.56,73987.8,2.034,456,681.715,58.8898,160.442,33.9803,-5.57589,65.3288,143.125,56.7988,1198.44,3481.06,61.3049,572.494,-993.682,61056.9
173990,124616,180127,538.78,272.18,355.26,851.88,230.02,163.84,320,8.96,845.61,2051.9,1898.54,416,101.76,5673.6,2.091,480,527.04,127.019,338.218,7.14656,147.045,161.387,386.543,-21.6665,716.464,1621.34,559.407,442.792,-793.242,-475.146
151232,126492,188003,1392.52,505.92,272.8,595.2,40.92,318.08,183.04,153.6,1701.16,4363.66,2399.8,530.56,105.6,9192.32,2.226,515,1376.36,295.237,238.142,-14.0878,-14.6998,314.803,130.427,159.335,1425.43,3521.82,220.215,634.052,-619.881,-4154.09
176156,141483,176356,574.74,257.3,251.72,706.8,-13.64,202.24,100.48,44.8,1050.09,2773.97,1417.87,1216.64,720,56464,2.236,520,563.481,87.8992,234.182,156.688,-95.3138,197.095,83.1672,63.4445,872.88,2280.28,-76.2301,283.575,-518.287,47945.4
225632,175063,158085,1191.64,339.14,319.92,614.42,1.24,77.44,87.04,63.36,1380.24,3912.1,1957.47,1324.8,353.92,35927.7,2.25,524,1180.92,105.619,307.726,-106.249,-55.3249,76.4464,191.976,102.508,1127.91,3228.25,-129.744,883.851,-820.611,23733.9
107110,95716,135050,840.72,351.54,177.94,174.84,1.24,407.04,431.36,149.12,1051.51,2981.29,1500.94,259.2,83.84,7002.88,2.3,537,830.966,218.634,162.446,-234.725,-1.98022,408.941,320.168,93.1867,859.119,2462.27,-12.6497,291.69,-364.413,-2211.21
150475,121525,160576,1037.88,378.2,204.6,240.56,86.18,67.2,149.76,32,925.84,3011.82,1601.05,798.08,323.2,29543,2.326,541,1030.57,193.755,190.819,-235.626,77.4504,70.2351,211.943,23.9603,726.656,2547.49,8.2144,399.809,-434.811,20042.9
204599,165267,166727,750.2,233.74,303.8,236.22,-48.36,360.96,113.92,154.88,1343.32,3623.84,2727.82,1466.24,630.4,45680.6,2.346,549,741.01,37.4216,314.007,-560.192,-37.1058,367.985,74.3533,180.137,1115.35,2987.23,774.087,810.25,-571.68,34414.9
187639,136413,179783,688.2,388.12,414.16,1096.78,132.68,76.8,10.88,90.24,1158.01,3395.22,2132.13,1216.64,672.64,51790.1,2.354,553,673.611,174.063,388.279,164.124,12.198,69.8005,107.349,133.745,936.168,2854.62,108.159,440.494,-847.094,41161.5
130970,114560,99320.9,463.14,208.94,94.24,189.1,-13.64,67.84,158.08,-39.68,833.54,2141.36,1282.26,853.76,140.8,24965.8,2.365,557,456.718,117.108,81.6229,-26.7923,-26.9396,67.9644,203.631,-41.3068,698.337,1739.32,268.275,494.91,-436.891,18420.9
107358,98028,81537.4,152.52,132.06,28.52,163.06,33.48,-1.28,59.52,3.84,336.54,852,357.84,622.72,82.56,15906.6,2.377,562,148.699,96.8211,14.7554,127.004,11.4106,-4.18652,88.2281,5.66943,282.253,690.563,-32.9637,366.148,-254.819,13272
191627,132217,249707,795.46,409.82,200.88,372.62,36.58,59.52,-9.6,200.96,1381.66,3654.37,2156.98,787.84,273.28,30069.8,2.426,577,783.984,257.318,177.108,-93.1901,7.99393,57.2394,44.8493,234.577,1149.94,3004.38,345.095,438.345,-503.851,18779.6
182002,135889,224507,542.5,110.98,34.72,257.3,0,78.72,87.68,39.04,1109.73,2959.99,1167.95,1243.52,268.16,60750.7,2.455,586,534.153,-8.63484,22.5793,228.26,-37.2093,72.885,146.131,59.0157,919.854,2446.63,-69.7593,239.886,-630.332,51647.1
168503,129833,111155,336.04,71.3,115.94,406.1,34.1,37.12,-193.28,-62.72,954.95,2389.86,1533.6,1101.44,245.76,44700.8,2.515,606,328.077,-31.2247,108.947,141.91,-10.6495,33.9018,-113.074,8.23818,805.487,1960.21,411.913,410.751,-618.909,37367.6
179028,125398,209644,463.76,121.52,88.04,409.2,79.36,99.84,111.36,-5.76,950.69,2646.88,1456.21,1201.28,295.04,53479,2.535,612,454.51,4.08854,73.8868,233.034,28.4851,94.287,163.894,4.54114,779.13,2208.02,257.53,325.547,-654.941,45282
240051,155297,152281,2000.74,619.38,300.7,644.8,84.32,375.04,325.12,158.72,3173.7,7632.5,3988.07,2039.68,763.52,74275.8,2.536,613,1976.87,276.181,263.088,-39.3051,28.1258,371.764,289.984,150.157,2699.75,6093.06,499.571,1035.21,-889.261,51222.8
180454,134929,141327,372.62,239.32,32.86,119.04,49.6,35.2,176.64,96,822.18,2404.77,1048.67,1166.72,392.96,56737.3,2.57,625,365.784,142.096,15.7001,76.0857,35.7332,31.8935,224.127,81.7407,664.982,2028.86,-6.9058,186.962,-405.887,49235.2
199088,149097,188251,672.08,282.1,81.84,60.14,62,247.04,124.16,-30.72,1143.81,3092.05,1412.9,1233.28,417.28,45508.5,2.581,629,663.488,151.855,68.5139,-116.092,66.2056,249.392,74.4527,-37.7032,947.511,2555.23,8.36508,527.676,-352.427,35959.2
236773,149072,189670,507.16,223.2,79.36,265.98,41.54,84.48,231.04,17.92,1156.59,2804.5,1309.95,1245.44,356.48,69081,2.629,650,498.243,87.9925,63.5094,117.453,11.5993,80.8777,314.939,8.16925,980.504,2256.84,80.8539,48.5758,-680.569,60678
202227,150438,150066,517.08,89.28,121.52,-9.3,31,-26.24,1.92,-51.2,780.29,2333.77,864.78,921.6,417.92,44864,2.639,653,515.239,-40.5511,134.15,-300.562,47.4178,-20.4571,100.787,-36.1084,629.675,1968.58,-292.977,181.1,-317.739,37593.7
