Condition,VH Zeta + 221 WT 1,VH Zeta + 221 WT 2,VH Zeta + 221 WT 3,VL Zeta + 221 WT 1,VL Zeta + 221 WT 2,VL Zeta + 221 WT 3,VH Zeta + 221 CD58KO 1,VH Zeta + 221 CD58KO 2,VH Zeta + 221 CD58KO 3,VL Zeta + 221 CD58KO 1,VL Zeta + 221 CD58KO 2,VL Zeta + 221 CD58KO 3,,,,,,,
Seconds,,,,,,,,,,,,,,,,,,,
49,1.27019,1.365750424,1.108374,0.890922,1.111795,1.052573,1.477124,0.985136,1.361748,1.54264,1.169998,1.104372,,,,,,,
49.5,1.269126,1.372191671,1.110025,0.891567,1.121955,1.053798,1.477141,0.985156,1.362114,1.54264,1.169384,1.104969,,,,,,,
50,1.271773,1.37403725,1.112531,0.891781,1.12801,1.055702,1.477133,0.985227,1.363638,1.54264,1.169399,1.104372,,,,,,,
50.5,1.271773,1.383874315,1.114188,0.892613,1.131531,1.056632,1.477133,0.985435,1.366181,1.539542,1.169998,1.104372,,,,,,,
51,1.282975,1.403211746,1.118342,0.894636,1.133958,1.059385,1.477124,0.985718,1.368647,1.539542,1.172519,1.103775,,,,,,,
51.5,1.289036,1.421534562,1.121345,0.89553,1.134723,1.060436,1.475442,0.987481,1.370897,1.541091,1.171558,1.103775,,,,,,,
52,1.299182,1.425715567,1.125813,0.898372,1.138665,1.061611,1.477133,0.988086,1.371074,1.542792,1.172643,1.103775,,,,,,,
52.5,1.29833,1.434106302,1.126861,0.899896,1.143079,1.061646,1.477133,0.988086,1.371512,1.545787,1.172519,1.103775,,,,,,,
53,1.299182,1.445496816,1.129808,0.900471,1.143962,1.062708,1.477133,0.989728,1.378404,1.542792,1.172519,1.104372,,,,,,,
53.5,1.29833,1.471094263,1.138945,0.900542,1.160383,1.063713,1.477133,0.990035,1.380725,1.549075,1.172643,1.105331,,,,,,,
54,1.297729,1.465743985,1.14591,0.901448,1.162958,1.065449,1.477133,0.991308,1.380647,1.54952,1.172519,1.105879,,,,,,,
54.5,1.299121,1.469658803,1.147809,0.901915,1.168989,1.069412,1.477141,0.992738,1.381907,1.55,1.171558,1.106065,,,,,,,
55,1.298391,1.474612351,1.150461,0.90273,1.16989,1.073982,1.477141,0.991505,1.384136,1.55,1.170598,1.106065,,,,,,,
55.5,1.303064,1.478402107,1.156672,0.904333,1.172639,1.073292,1.477141,0.991505,1.384136,1.55113,1.170598,1.106065,,,,,,,
56,1.302948,1.478402107,1.159997,0.90417,1.172151,1.075912,1.477141,0.991506,1.3856,1.553338,1.169998,1.106065,,,,,,,
56.5,1.304633,1.482507364,1.16488,0.904468,1.174698,1.076562,1.477688,0.993031,1.385839,1.553338,1.169998,1.106204,,,,,,,
57,1.304736,1.493801067,1.165468,0.90452,1.176276,1.077535,1.47812,0.992738,1.386077,1.553338,1.169998,1.106343,,,,,,,
57.5,1.329718,1.505145106,1.167933,0.905441,1.174939,1.081152,1.478778,0.993483,1.387155,1.554896,1.170598,1.106343,,,,,,,
