Seconds,Experiment 1,Experiment 2,Experiment 3,Experiment 4,Experiment 5
64.011,1.096901763,1.439064,2.710943297,1.033255612,1.021427
64.511,1.098130792,1.452878,2.732966106,1.038531106,1.023825
65.011,1.098130792,1.47085,2.742912867,1.042656543,1.028372
65.511,1.096309663,1.485559,2.757787325,1.045623574,1.02956
66.011,1.096605713,1.500571,2.76959429,1.054608656,1.030506
66.511,1.10039088,1.518707,2.782561109,1.065409497,1.033767
67.011,1.103189355,1.52496,2.798508853,1.074155072,1.036059
67.511,1.103006232,1.540656,2.80336065,1.082509983,1.041256
68.011,1.102783908,1.550851,2.82131014,1.099715899,1.047135
68.511,1.10355388,1.564457,2.843341191,1.110557105,1.053564
69.011,1.104512227,1.578304,2.854310279,1.126787503,1.060132
69.511,1.106873054,1.592218,2.867026162,1.137641182,1.065565
70.011,1.112775342,1.602686,2.872080882,1.154910959,1.071168
70.511,1.113933599,1.607719,2.873976983,1.169349352,1.079687
71.011,1.116014765,1.618017,2.88697734,1.182172482,1.091411
71.511,1.121431364,1.631213,2.898034059,1.197542741,1.10293
72.011,1.12735246,1.646815,2.907849207,1.213617859,1.11854
72.511,1.13409553,1.658422,2.919227187,1.243635423,1.124092
73.011,1.137286819,1.66963,2.927765559,1.265278758,1.134442
73.511,1.139537831,1.68388,2.939866451,1.306869384,1.146992
74.011,1.149884069,1.693139,2.943698056,1.338320462,1.151385
74.511,1.161855108,1.707236,2.948927482,1.37181651,1.163155
75.011,1.165489457,1.719144,2.953328489,1.406690443,1.176302
75.511,1.168452037,1.734591,2.961253969,1.441852269,1.189264
76.011,1.176305406,1.755721,2.975495546,1.466406381,1.20642
76.511,1.184666681,1.769347,2.989332399,1.483003991,1.216752
77.011,1.192825257,1.789353,3.002602267,1.513392293,1.223104
77.511,1.198733086,1.809497,3.021912092,1.549194503,1.23627
78.011,1.206156637,1.815867,3.037752913,1.580393122,1.25029
78.511,1.21841905,1.829579,3.053748549,1.610289622,1.267851
79.011,1.230257173,1.848295,3.057772896,1.640242794,1.285692
79.511,1.244382495,1.866224,3.064321703,1.669062121,1.30634
80.011,1.254782578,1.883382,3.073132581,1.702787294,1.325738
80.511,1.261342277,1.899806,3.08443403,1.731929995,1.338661
81.011,1.26708578,1.909787,3.091006409,1.75806243,1.362266
81.511,1.274188962,1.930228,3.099084571,1.795563323,1.382149
82.011,1.279968341,1.956455,3.108492937,1.821982636,1.406249
82.511,1.287542714,1.968608,3.117886681,1.852294784,1.417019
83.011,1.30315704,1.982118,3.128727479,1.879802732,1.43344
83.511,1.308428818,1.997301,3.134982041,1.903457065,1.449304
84.011,1.316029463,2.014564,3.146240705,1.919705982,1.46702
84.511,1.32536512,2.035136,3.151286834,1.941267902,1.480464
85.011,1.34066973,2.046396,3.157302228,1.968206581,1.494908
85.511,1.347927808,2.05709,3.164543765,1.997823087,1.513479
86.011,1.357585972,2.072009,3.17336702,2.019992354,1.523636
